CountryCode;Language;IsOfficial;Percentage
VAT;Italian;T;0,00
VCT;Creole English;F;99,10
VCT;English;T;0,00
VEN;Goajiro;F;0,40
VEN;Spanish;T;96,90
VEN;Warrau;F;0,10
VGB;English;T;0,00
VIR;English;T;81,70
VIR;French;F;2,50
VIR;Spanish;F;13,30
VNM;Chinese;F;1,40
VNM;Khmer;F;1,40
VNM;Man;F;0,70
VNM;Miao;F;0,90
VNM;Muong;F;1,50
VNM;Nung;F;1,10
VNM;Thai;F;1,60
VNM;Tho;F;1,80
VNM;Vietnamese;T;86,80
VUT;Bislama;T;56,60
VUT;English;T;28,30
VUT;French;T;14,20
WLF;Futuna;F;0,00
WLF;Wallis;F;0,00
WSM;English;T;0,60
WSM;Samoan;T;47,50
WSM;Samoan-English;F;52,00
YEM;Arabic;T;99,60
YEM;Soqutri;F;0,00
YUG;Albaniana;F;16,50
YUG;Hungarian;F;3,40
YUG;Macedonian;F;0,50
YUG;Romani;F;1,40
YUG;Serbo-Croatian;T;75,20
YUG;Slovak;F;0,70
ZAF;Afrikaans;T;14,30
ZAF;English;T;8,50
ZAF;Ndebele;F;1,50
ZAF;Northsotho;F;9,10
ZAF;Southsotho;F;7,60
ZAF;Swazi;F;2,50
ZAF;Tsonga;F;4,30
ZAF;Tswana;F;8,10
ZAF;Venda;F;2,20
ZAF;Xhosa;T;17,70
ZAF;Zulu;T;22,70
ZMB;Bemba;F;29,70
ZMB;Chewa;F;5,70
ZMB;Lozi;F;6,40
ZMB;Nsenga;F;4,30
ZMB;Nyanja;F;7,80
ZMB;Tongan;F;11,00
ZWE;English;T;2,20
ZWE;Ndebele;F;16,20
ZWE;Nyanja;F;2,20
ZWE;Shona;F;72,10
